name,district,office,denounced,unendorsed,source
Dan Newhouse,Washington 4,House,,,
Clint Didier,Washington 4,House,,,
Todd Bloom,Washington 6,House,,,
Dave Reichert,Washington 8,House,,,
Doug Basler,Washington 9,House,,,
Jim Postma,Washington 10,House,,,
David McKinley,West Virginia 1,House,,,
Alex Mooney,West Virginia 2,House,,,
Evan Jenkins,West Virginia 3,House,,,
Peter Theron,Wisconsin 1,House,,,
Jim Sensenbrenner,Wisconsin 5,House,,,
Glenn Grothman,Wisconsin 6,House,,,
Sean Duffy,Wisconsin 7,House,,,
Mike Gallagher,Wisconsin 8,House,,,
Liz Cheney,Wyoming at-large,House,,,
Aumua Amata Radewagen,American Samoa,House,,,
Felix Camacho,Guam,House,,,
Gordon P. Ackley,United States Virgin Islands,House,,,
